"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2013",9042994.07975336,7793017.75321222,10292970.4062945,7131320.25607291,10954667.9034338
"Feb 2013",6791296.06261752,5496911.66798199,8085680.45725306,4811705.95961746,8770886.16561759
"Mar 2013",5898648.96621837,4604264.57158284,7193033.36085391,3919058.86321831,7878239.06921844
"Apr 2013",5625622.01420643,4331237.61957089,6920006.40884197,3646031.91120636,7605212.1172065
"May 2013",7549933.26911857,6255548.87448303,8844317.66375411,5570343.1661185,9529523.37211863
"Jun 2013",7459274.41112482,6164890.01648928,8753658.80576035,5479684.30812475,9438864.51412488
"Jul 2013",9478898.59101556,8184514.19638002,10773282.9856511,7499308.48801549,11458488.6940156
"Aug 2013",8368023.39075402,7073638.99611848,9662407.78538956,6388433.28775395,10347613.4937541
"Sep 2013",5866101.48980329,4571717.09516775,7160485.88443883,3886511.38680322,7845691.59280336
"Oct 2013",5808655.9507449,4514271.55610936,7103040.34538043,3829065.84774483,7788246.05374496
"Nov 2013",7377995.62661036,6083611.23197483,8672380.0212459,5398405.5236103,9357585.72961043
"Dec 2013",9495296.60856613,8200912.21393133,10789681.0032009,7515706.50556719,11474886.7115651
"Jan 2014",8677212.54943862,7344096.97746212,10010328.1214151,6638388.22230895,10716036.8765683
"Feb 2014",6775552.06952606,5439679.13608669,8111425.00296543,4732510.72194643,8818593.4171057
"Mar 2014",5921574.88854077,4585701.95510141,7257447.82198014,3878533.54096114,7964616.23612041
"Apr 2014",5787793.21439962,4451920.28096025,7123666.14783898,3744751.86681998,7830834.56197925
"May 2014",7855673.83632353,6519800.90288416,9191546.76976289,5812632.48874389,9898715.18390316
"Jun 2014",8119920.83856569,6784047.90512633,9455793.77200506,6076879.49098606,10162962.1861453
"Jul 2014",9726289.50008712,8390416.56664775,11062162.4335265,7683248.15250748,11769330.8476668
"Aug 2014",8332673.95855191,6996801.02511254,9668546.89199128,6289632.61097227,10375715.3061315
"Sep 2014",5895158.30628749,4559285.37284812,7231031.23972685,3852116.95870785,7938199.65386712
"Oct 2014",5945996.21795991,4610123.28452054,7281869.15139927,3902954.87038027,7989037.56553954
"Nov 2014",7383914.19954862,6048041.26610925,8719787.13298799,5340872.85196899,9426955.54712826
"Dec 2014",9912274.31667936,8576401.38324027,11248147.2501184,7869232.96910015,11955315.6642586
